"Qty";"Value";"Device";"Footprint Name";"Parts";"Detailed Description";"";
"1";"100R";"R-EU_0204/7";"0204/7";"R16";"RESISTOR, European symbol";"";
"2";"100k";"R-EU_0204/7";"0204/7";"R6, R17";"RESISTOR, European symbol";"";
"1";"10k";"R-EU_0204/7";"0204/7";"R5";"RESISTOR, European symbol";"";
"1";"15k";"R-EU_0204/7";"0204/7";"R10";"RESISTOR, European symbol";"";
"1";"1k";"R-EU_0204/7";"0204/7";"R4";"RESISTOR, European symbol";"";
"1";"220R";"R-EU_0204/7";"0204/7";"R14";"RESISTOR, European symbol";"";
"13";"2N3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"Q1, Q2, Q3, Q4, Q14, Q15, Q16, Q17, Q18, Q20, Q21, Q22, Q24";"NPN Transistror";"";
"13";"2N3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q19A, Q19B, Q23, Q25";"PNP Transistror";"";
"1";"3k9";"R-EU_0204/7";"0204/7";"R13";"RESISTOR, European symbol";"";
"7";"4k7";"R-EU_0204/7";"0204/7";"R1, R3, R7, R8, R9, R11, R15";"RESISTOR, European symbol";"";
"1";"6k8";"R-EU_0204/7";"0204/7";"R12";"RESISTOR, European symbol";"";
"1";"820R";"R-EU_0204/7";"0204/7";"R2";"RESISTOR, European symbol";"";
"1";"Control Voltage";"PINHD-1X1";"1X01";"JP5";"PIN HEADER";"";
"1";"Discharge";"PINHD-1X1";"1X01";"JP7";"PIN HEADER";"";
"1";"GND";"PINHD-1X1";"1X01";"JP1";"PIN HEADER";"";
"1";"Output";"PINHD-1X1";"1X01";"JP3";"PIN HEADER";"";
"1";"Reset";"PINHD-1X1";"1X01";"JP4";"PIN HEADER";"";
"1";"Threashold";"PINHD-1X1";"1X01";"JP6";"PIN HEADER";"";
"1";"Trigger";"PINHD-1X1";"1X01";"JP2";"PIN HEADER";"";
"1";"Vcc";"PINHD-1X1";"1X01";"JP8";"PIN HEADER";"";
